GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Logging Support for Micronaut,io.kokuwa.micronaut.logging.http.mdc,PathMdcFilter,0,140,0,12,0,29,0,9,0,3
Logging Support for Micronaut,io.kokuwa.micronaut.logging.http.mdc,AuthenticationMdcFilter,0,102,1,9,0,20,1,7,0,3
Logging Support for Micronaut,io.kokuwa.micronaut.logging.http.mdc,HeaderMdcFilter,0,65,0,2,0,10,0,5,0,4
Logging Support for Micronaut,io.kokuwa.micronaut.logging.http.level,LogLevelServerFilter,0,67,0,0,0,12,0,7,0,7
Logging Support for Micronaut,io.kokuwa.micronaut.logging.http.level,LogLevelTurboFilter,0,24,0,6,0,7,0,5,0,2
Logging Support for Micronaut,io.kokuwa.micronaut.logging.http.level,LogLevelClientFilter,53,0,0,0,10,0,5,0,5,0
Logging Support for Micronaut,io.kokuwa.micronaut.logging.http,AbstractMdcFilter,0,65,0,4,0,13,0,9,0,7
Logging Support for Micronaut,io.kokuwa.micronaut.logging.configurator,RootAutoSelectAppenderAction,73,133,8,6,20,38,10,7,2,7
Logging Support for Micronaut,io.kokuwa.micronaut.logging.configurator,DefaultConfigurator,14,31,2,2,6,10,2,2,0,2
Logging Support for Micronaut,io.kokuwa.micronaut.logging.configurator,MicronautJoranConfigurator,0,18,0,0,0,4,0,3,0,3
Logging Support for Micronaut,io.kokuwa.micronaut.logging.layout,JsonLayout,323,0,34,0,91,0,40,0,23,0
Logging Support for Micronaut,io.kokuwa.micronaut.logging.layout,GcpJsonLayout,147,0,12,0,26,0,11,0,5,0
Logging Support for Micronaut,io.kokuwa.micronaut.logging,LogbackUtil,0,61,0,0,0,13,0,5,0,5
Logging Support for Micronaut,io.kokuwa.micronaut.logging.mdc,MDCTurboFilterConfigurer,3,134,1,5,1,30,1,7,0,5
Logging Support for Micronaut,io.kokuwa.micronaut.logging.mdc,MDCTurboFilter,2,115,2,16,1,24,2,14,0,7
