GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
k3s Maven Plugin,io.kokuwa.maven.k3s.util,Await,47,82,3,3,11,27,4,8,2,7
k3s Maven Plugin,io.kokuwa.maven.k3s.util,Docker.ContainerVolume,0,9,0,0,0,4,0,1,0,1
k3s Maven Plugin,io.kokuwa.maven.k3s.util,Docker.ContainerStatus,0,74,0,0,0,8,0,1,0,1
k3s Maven Plugin,io.kokuwa.maven.k3s.util,Docker,26,649,0,14,3,78,2,35,2,28
k3s Maven Plugin,io.kokuwa.maven.k3s.util,Docker.ContainerImage,0,57,0,0,0,13,0,4,0,4
k3s Maven Plugin,io.kokuwa.maven.k3s.util,Marker,18,30,0,0,4,8,0,3,0,3
k3s Maven Plugin,io.kokuwa.maven.k3s.util,Task,33,201,1,5,8,43,2,17,1,15
k3s Maven Plugin,io.kokuwa.maven.k3s.util,Docker.Container,0,27,1,3,0,7,1,3,0,2
k3s Maven Plugin,io.kokuwa.maven.k3s.mojo,ImageMojo,66,775,6,40,18,109,6,49,0,32
k3s Maven Plugin,io.kokuwa.maven.k3s.mojo,RemoveMojo,0,31,0,4,0,12,0,6,0,4
k3s Maven Plugin,io.kokuwa.maven.k3s.mojo,K3sMojo,9,82,1,9,1,19,2,15,1,11
k3s Maven Plugin,io.kokuwa.maven.k3s.mojo,RestartMojo,34,254,0,14,2,43,0,15,0,8
k3s Maven Plugin,io.kokuwa.maven.k3s.mojo,RunMojo,53,370,15,37,15,103,20,35,5,24
k3s Maven Plugin,io.kokuwa.maven.k3s.mojo,ApplyMojo,77,576,10,34,11,91,10,33,1,20
